Manifold,Volume,Homology_Rank,Torsion_Order_Proxy,Lambda_c
"o9_00264(0,0)",3.6551132899889724,2,1.0,3.6551132899889724
"o9_00265(0,0)",3.6551132899889747,2,1.0,3.6551132899889747
"o9_00266(0,0)",3.6551847496961174,1,1.0,3.6551847496961174
"o9_00267(0,0)",3.6551986758825956,1,1.0,3.6551986758825956
"o9_00268(0,0)",3.65522658993595,2,1.0,3.65522658993595
"o9_00269(0,0)",3.655226589935949,2,1.0,3.655226589935949
"o9_00270(0,0)",3.655293864555977,2,1.0,3.655293864555977
"o9_00271(0,0)",3.65529386455598,2,1.0,3.65529386455598
"o9_00272(0,0)",3.655322611143136,1,1.0,3.655322611143136
"o9_00273(0,0)",3.655326966754809,2,1.0,3.655326966754809
"o9_00274(0,0)",3.655326966754809,2,1.0,3.655326966754809
"o9_00275(0,0)",3.6553406651709994,1,1.0,3.6553406651709994
"o9_00276(0,0)",3.655478327286771,2,1.0,3.655478327286771
"o9_00277(0,0)",3.655478327286767,2,1.0,3.655478327286767
"o9_00278(0,0)",3.655541952388801,2,1.0,3.655541952388801
"o9_00279(0,0)",3.655541952388795,2,1.0,3.655541952388795
"o9_00280(0,0)",3.65555264891117,1,1.0,3.65555264891117
"o9_00281(0,0)",3.655554761687684,1,1.0,3.655554761687684
"o9_00282(0,0)",3.6555678561360567,1,1.0,3.6555678561360567
"o9_00283(0,0)",3.6555706516167876,1,1.0,3.6555706516167876
"o9_00284(0,0)",3.6557200229191196,2,1.0,3.6557200229191196
"o9_00285(0,0)",3.655720022919126,2,1.0,3.655720022919126
"o9_00286(0,0)",3.6557200468342836,1,1.0,3.6557200468342836
"o9_00287(0,0)",3.6557266110721796,1,1.0,3.6557266110721796
"o9_00288(0,0)",3.6557714533623766,2,1.0,3.6557714533623766
"o9_00289(0,0)",3.6557714533623766,2,1.0,3.6557714533623766
"o9_00290(0,0)",3.65577297385384,2,1.0,3.65577297385384
"o9_00291(0,0)",3.655772973853846,2,1.0,3.655772973853846
"o9_00292(0,0)",3.6558782290534806,1,1.0,3.6558782290534806
"o9_00293(0,0)",3.655891895665401,1,1.0,3.655891895665401
"o9_00294(0,0)",3.655902201134054,1,1.0,3.655902201134054
"o9_00295(0,0)",3.6559127264708406,1,1.0,3.6559127264708406
"o9_00296(0,0)",3.6559585154376095,2,1.0,3.6559585154376095
"o9_00297(0,0)",3.6559726610447765,1,1.0,3.6559726610447765
"o9_00298(0,0)",3.656064690957879,2,1.0,3.656064690957879
"o9_00299(0,0)",3.6560646909578787,2,1.0,3.6560646909578787
"o9_00300(0,0)",3.656101667241577,2,1.0,3.656101667241577
"o9_00301(0,0)",3.6561016672415754,2,1.0,3.6561016672415754
"o9_00302(0,0)",3.6561227144250035,2,1.0,3.6561227144250035
"o9_00303(0,0)",3.6561227144250026,2,1.0,3.6561227144250026
"o9_00304(0,0)",3.6561504214680673,2,1.0,3.6561504214680673
"o9_00305(0,0)",3.6561504214680633,2,1.0,3.6561504214680633
"o9_00306(0,0)",3.656174283933075,1,1.0,3.656174283933075
"o9_00307(0,0)",3.656189024694348,2,1.0,3.656189024694348
"o9_00308(0,0)",3.6562013769024904,1,1.0,3.6562013769024904
"o9_00309(0,0)",3.6562105012237605,2,1.0,3.6562105012237605
"o9_00310(0,0)",3.6562105012237596,2,1.0,3.6562105012237596
"o9_00311(0,0)",3.6562128290523646,1,1.0,3.6562128290523646
"o9_00312(0,0)",3.656218172824965,2,1.0,3.656218172824965
"o9_00313(0,0)",3.656218172824963,2,1.0,3.656218172824963
"o9_00314(0,0)",3.656250886959961,2,1.0,3.656250886959961
